type,job,job_require,course_acquire,course,path
single_hop_synonym,Fullstack (FinTech) #2,SQL,SQL,SF230,"['Fullstack (FinTech) #2', 'require>', 'SQL', 'include<', 'SF230']"
single_hop_synonym,Fullstack (FinTech) #2,Java,Java,CN311,"['Fullstack (FinTech) #2', 'require>', 'Java', 'include<', 'CN311']"
single_hop_synonym,Fullstack (FinTech) #2,Java,Java,SF212,"['Fullstack (FinTech) #2', 'require>', 'Java', 'include<', 'SF212']"
single_hop_synonym,Fullstack (FinTech) #2,Java,Java,SF211,"['Fullstack (FinTech) #2', 'require>', 'Java', 'include<', 'SF211']"
single_hop_synonym,Fullstack (Bank) #1,Apache,Apache,CN310,"['Fullstack (Bank) #1', 'require>', 'Apache', 'include<', 'CN310']"
single_hop_synonym,Fullstack (Bank) #1,Git,Git,SF222,"['Fullstack (Bank) #1', 'require>', 'Git', 'include<', 'SF222']"
single_hop_synonym,Fullstack (Bank) #1,Git,Git,CN310,"['Fullstack (Bank) #1', 'require>', 'Git', 'include<', 'CN310']"
single_hop_synonym,Fullstack (Bank) #1,JSON,JSON,SF220,"['Fullstack (Bank) #1', 'require>', 'JSON', 'include<', 'SF220']"
single_hop_synonym,Fullstack (Bank) #1,JSON,JSON,CN351,"['Fullstack (Bank) #1', 'require>', 'JSON', 'include<', 'CN351']"
single_hop_synonym,Fullstack (Bank) #1,Web Services,Web Services,SF220,"['Fullstack (Bank) #1', 'require>', 'Web Services', 'include<', 'SF220']"
single_hop_synonym,Fullstack (Bank) #1,Web Services,Web Services,CN310,"['Fullstack (Bank) #1', 'require>', 'Web Services', 'include<', 'CN310']"
single_hop_synonym,Fullstack (Bank) #1,REST,REST,SF220,"['Fullstack (Bank) #1', 'require>', 'REST', 'include<', 'SF220']"
single_hop_synonym,Fullstack (Bank) #1,JavaScript,JavaScript,CN351,"['Fullstack (Bank) #1', 'require>', 'JavaScript', 'include<', 'CN351']"
single_hop_synonym,Fullstack (Bank) #1,JavaScript,JavaScript,SF220,"['Fullstack (Bank) #1', 'require>', 'JavaScript', 'include<', 'SF220']"
single_hop_synonym,Fullstack (Bank) #1,CSS,CSS,SF220,"['Fullstack (Bank) #1', 'require>', 'CSS', 'include<', 'SF220']"
single_hop_synonym,Fullstack (Bank) #1,HTML,HTML,SF222,"['Fullstack (Bank) #1', 'require>', 'HTML', 'include<', 'SF222']"
single_hop_synonym,Fullstack (Bank) #1,HTML,HTML,SF220,"['Fullstack (Bank) #1', 'require>', 'HTML', 'include<', 'SF220']"
single_hop_synonym,Fullstack (Bank) #1,HTML,HTML,CN351,"['Fullstack (Bank) #1', 'require>', 'HTML', 'include<', 'CN351']"
single_hop_synonym,Fullstack (Bank) #1,Kubernetes,Kubernetes,CN310,"['Fullstack (Bank) #1', 'require>', 'Kubernetes', 'include<', 'CN310']"
single_hop_synonym,Fullstack (Bank) #1,Microservices,Microservices,CN310,"['Fullstack (Bank) #1', 'require>', 'Microservices', 'include<', 'CN310']"
single_hop_synonym,Fullstack (Bank) #1,Client-Server Architecture,Client-Server Architecture,SF222,"['Fullstack (Bank) #1', 'require>', 'Client-Server Architecture', 'include<', 'SF222']"
single_hop_synonym,Fullstack (Bank) #1,MVC,MVC,SF222,"['Fullstack (Bank) #1', 'require>', 'MVC', 'include<', 'SF222']"
single_hop_synonym,Fullstack (Bank) #1,Source Code,Source Code,SF211,"['Fullstack (Bank) #1', 'require>', 'Source Code', 'include<', 'SF211']"
single_hop_synonym,Fullstack (Bank) #1,Java,Java,CN311,"['Fullstack (Bank) #1', 'require>', 'Java', 'include<', 'CN311']"
single_hop_synonym,Fullstack (Bank) #1,Java,Java,SF212,"['Fullstack (Bank) #1', 'require>', 'Java', 'include<', 'SF212']"
single_hop_synonym,Fullstack (Bank) #1,Java,Java,SF211,"['Fullstack (Bank) #1', 'require>', 'Java', 'include<', 'SF211']"
single_hop_synonym,Fullstack (FinTech) #1,CSS,CSS,SF220,"['Fullstack (FinTech) #1', 'require>', 'CSS', 'include<', 'SF220']"
single_hop_synonym,Fullstack (FinTech) #1,Product Management,Product Management,SF222,"['Fullstack (FinTech) #1', 'require>', 'Product Management', 'include<', 'SF222']"
single_hop_synonym,Fullstack (FinTech) #1,Business Process,Business Process,SF220,"['Fullstack (FinTech) #1', 'require>', 'Business Process', 'include<', 'SF220']"
single_hop_synonym,Fullstack (FinTech) #1,Cloud Computing,Cloud Computing,CN351,"['Fullstack (FinTech) #1', 'require>', 'Cloud Computing', 'include<', 'CN351']"
single_hop_synonym,Fullstack (FinTech) #1,Operating System,Operating System,CN311,"['Fullstack (FinTech) #1', 'require>', 'Operating System', 'include<', 'CN311']"
single_hop_synonym,Fullstack (FinTech) #1,Operating System,Operating System,SF220,"['Fullstack (FinTech) #1', 'require>', 'Operating System', 'include<', 'SF220']"
single_hop_synonym,Fullstack (FinTech) #1,Software Development,Software Development,SF220,"['Fullstack (FinTech) #1', 'require>', 'Software Development', 'include<', 'SF220']"
single_hop_synonym,Fullstack (FinTech) #1,Software Development,Software Development,SF222,"['Fullstack (FinTech) #1', 'require>', 'Software Development', 'include<', 'SF222']"
single_hop_synonym,Fullstack (FinTech) #1,Software Development,Software Development,SF230,"['Fullstack (FinTech) #1', 'require>', 'Software Development', 'include<', 'SF230']"
single_hop_synonym,Fullstack (FinTech) #1,Software Development,Software Development,SF210,"['Fullstack (FinTech) #1', 'require>', 'Software Development', 'include<', 'SF210']"
